wrd1;wrd2;speaker;sentID;fullSent;condition;newWord1;newWord2
haar;oma;nonNat;331;"Maartje heeft van haar oma geleerd hoe ze moet breien; nu kan ze zelf ook mooie sjaals maken.";control;oma;sjaals
het;rookverbod;nonNat;332;Sinds de invoering van het rookverbod in restaurants vinden veel mensen het een stuk prettiger om langer te dineren.;control;invoering;restaurants
de;stembus;nonNat;333;De Ierse bevolking gaat volgende maand naar de stembus om een nieuw parlement te kiezen.;control;bevolking;parlement
de;deuren;nonNat;334;Amazon is er medeverantwoordelijk voor dat vele boekenwinkels de voorbije jaren de deuren moesten sluiten.;control;boekenwinkels;jaren
diverse;;nonNat;335;Vanwege de vluchtelingenstroom hebben diverse EU-landen grenscontroles ingesteld, maar dit gaat ten koste van de lokale economie.;control;vluchtelingenstroom;grenscontroles
grote;aantallen;nonNat;336;Ecotoerisme is populair in Costa Rica. Maar de grote aantallen toeristen vormen een bedreiging voor het kleine land.;control;toeristen;land
hun;handen;nonNat;337;Je moet wel even geduld hebben met deze film, want de personages beginnen pas met hun handen en voeten te knokken als de kogels op zijn.;control;film;personages
de;griep;nonNat;338;Als je de griep eenmaal hebt, is het zo leuk nog niet om de hele dag tv te kijken.;control;tv;kijken
het;eten;nonNat;339;Hotels besteden steeds vaker het eten uit aan mensen die daar echt verstand van hebben.;control;mensen;verstand
dunne;velletjes;nonNat;340;We eten echt wel iets lekkers: frisse salade van dunne velletjes rauwe pompoen met citroensap en rode peper.;control;salade;pompoen
geen;Nederlands;nonNat;341;De jongens in hun geruite giletjes zijn gelikt en professioneel, maar de meesten spreken geen Nederlands.;control;jongens;giletjes
een;boek;nonNat;342;De Roemeense autoriteiten willen een einde maken aan een maatregel waardoor gevangenen strafvermindering kunnen krijgen door een boek te schrijven.;control;autoriteiten;maatregel
het;belang;nonNat;343;De eerste keer dat we samen komen houd ik een korte introductie over het belang van literatuur.;control;introductie;literatuur
saaie;boeken;nonNat;344;Lezen is niet saai, zolang je maar geen saaie boeken leest.;control;lezen;saai
