{'onsetDet': 3.8100000000000001, 'onsetNoun': 3.9710000000000001, 'hasQuestion': 1, 'Question': 'practQ', 'relatedness': 'related', 'trialIndex': 0, 'offsetNoun': 4.3049999999999997, 'speaker': 'Nat', 'trigOffsetNoun': 119, 'sentID': 113, 'yesOrNo': 0.0, 'part': 'practice', 'filename': 'Nat_113_related', 'totalLen': 6.5039999999999996, 'trigDet': 11}	57.790487051	endSentence
{'onsetDet': 3.0369999999999999, 'onsetNoun': 3.218, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'related', 'trialIndex': 0, 'offsetNoun': 3.7000000000000002, 'speaker': 'Nat', 'trigOffsetNoun': 119, 'sentID': 117, 'yesOrNo': nan, 'part': 'practice', 'filename': 'Nat_117_related', 'totalLen': 4.3600000000000003, 'trigDet': 11}	61.1608741283	sentStart
{'onsetDet': 3.0369999999999999, 'onsetNoun': 3.218, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'related', 'trialIndex': 0, 'offsetNoun': 3.7000000000000002, 'speaker': 'Nat', 'trigOffsetNoun': 119, 'sentID': 117, 'yesOrNo': nan, 'part': 'practice', 'filename': 'Nat_117_related', 'totalLen': 4.3600000000000003, 'trigDet': 11}	64.2073590755	onsetDet	11
{'onsetDet': 3.0369999999999999, 'onsetNoun': 3.218, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'related', 'trialIndex': 0, 'offsetNoun': 3.7000000000000002, 'speaker': 'Nat', 'trigOffsetNoun': 119, 'sentID': 117, 'yesOrNo': nan, 'part': 'practice', 'filename': 'Nat_117_related', 'totalLen': 4.3600000000000003, 'trigDet': 11}	64.3966901302	onsetNoun
{'onsetDet': 3.0369999999999999, 'onsetNoun': 3.218, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'related', 'trialIndex': 0, 'offsetNoun': 3.7000000000000002, 'speaker': 'Nat', 'trigOffsetNoun': 119, 'sentID': 117, 'yesOrNo': nan, 'part': 'practice', 'filename': 'Nat_117_related', 'totalLen': 4.3600000000000003, 'trigDet': 11}	67.9242901802	offsetNoun	119
{'onsetDet': 3.0369999999999999, 'onsetNoun': 3.218, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'related', 'trialIndex': 0, 'offsetNoun': 3.7000000000000002, 'speaker': 'Nat', 'trigOffsetNoun': 119, 'sentID': 117, 'yesOrNo': nan, 'part': 'practice', 'filename': 'Nat_117_related', 'totalLen': 4.3600000000000003, 'trigDet': 11}	68.7667109966	endSentence
{'onsetDet': 2.9530000000000003, 'onsetNoun': 3.0499999999999998, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'related', 'trialIndex': 1, 'offsetNoun': 3.29, 'speaker': 'Nat', 'trigOffsetNoun': 119, 'sentID': 80, 'yesOrNo': nan, 'part': 'experiment', 'filename': 'Nat_80_related', 'totalLen': 4.048, 'trigDet': 11}	69.9511151314	sentStart
{'onsetDet': 2.9530000000000003, 'onsetNoun': 3.0499999999999998, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'related', 'trialIndex': 1, 'offsetNoun': 3.29, 'speaker': 'Nat', 'trigOffsetNoun': 119, 'sentID': 80, 'yesOrNo': nan, 'part': 'experiment', 'filename': 'Nat_80_related', 'totalLen': 4.048, 'trigDet': 11}	72.9126150608	onsetDet	11
{'onsetDet': 2.9530000000000003, 'onsetNoun': 3.0499999999999998, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'related', 'trialIndex': 1, 'offsetNoun': 3.29, 'speaker': 'Nat', 'trigOffsetNoun': 119, 'sentID': 80, 'yesOrNo': nan, 'part': 'experiment', 'filename': 'Nat_80_related', 'totalLen': 4.048, 'trigDet': 11}	73.0179569721	onsetNoun
{'onsetDet': 2.9530000000000003, 'onsetNoun': 3.0499999999999998, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'related', 'trialIndex': 1, 'offsetNoun': 3.29, 'speaker': 'Nat', 'trigOffsetNoun': 119, 'sentID': 80, 'yesOrNo': nan, 'part': 'experiment', 'filename': 'Nat_80_related', 'totalLen': 4.048, 'trigDet': 11}	76.2204291821	offsetNoun	119
{'onsetDet': 2.9530000000000003, 'onsetNoun': 3.0499999999999998, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'related', 'trialIndex': 1, 'offsetNoun': 3.29, 'speaker': 'Nat', 'trigOffsetNoun': 119, 'sentID': 80, 'yesOrNo': nan, 'part': 'experiment', 'filename': 'Nat_80_related', 'totalLen': 4.048, 'trigDet': 11}	77.0848710537	endSentence
{'onsetDet': 2.6460000000000004, 'onsetNoun': 2.8210000000000002, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'unrelated', 'trialIndex': 2, 'offsetNoun': 3.1289999999999996, 'speaker': 'nonNat', 'trigOffsetNoun': 229, 'sentID': 141, 'yesOrNo': nan, 'part': 'experiment', 'filename': 'nonNat_141_unrelated', 'totalLen': 4.234, 'trigDet': 22}	78.2748980522	sentStart
{'onsetDet': 2.6460000000000004, 'onsetNoun': 2.8210000000000002, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'unrelated', 'trialIndex': 2, 'offsetNoun': 3.1289999999999996, 'speaker': 'nonNat', 'trigOffsetNoun': 229, 'sentID': 141, 'yesOrNo': nan, 'part': 'experiment', 'filename': 'nonNat_141_unrelated', 'totalLen': 4.234, 'trigDet': 22}	80.9304261208	onsetDet	22
{'onsetDet': 2.6460000000000004, 'onsetNoun': 2.8210000000000002, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'unrelated', 'trialIndex': 2, 'offsetNoun': 3.1289999999999996, 'speaker': 'nonNat', 'trigOffsetNoun': 229, 'sentID': 141, 'yesOrNo': nan, 'part': 'experiment', 'filename': 'nonNat_141_unrelated', 'totalLen': 4.234, 'trigDet': 22}	81.1137971878	onsetNoun
{'onsetDet': 2.6460000000000004, 'onsetNoun': 2.8210000000000002, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'unrelated', 'trialIndex': 2, 'offsetNoun': 3.1289999999999996, 'speaker': 'nonNat', 'trigOffsetNoun': 229, 'sentID': 141, 'yesOrNo': nan, 'part': 'experiment', 'filename': 'nonNat_141_unrelated', 'totalLen': 4.234, 'trigDet': 22}	84.0773050785	offsetNoun	229
{'onsetDet': 2.6460000000000004, 'onsetNoun': 2.8210000000000002, 'hasQuestion': 0, 'Question': nan, 'relatedness': 'unrelated', 'trialIndex': 2, 'offsetNoun': 3.1289999999999996, 'speaker': 'nonNat', 'trigOffsetNoun': 229, 'sentID': 141, 'yesOrNo': nan, 'part': 'experiment', 'filename': 'nonNat_141_unrelated', 'totalLen': 4.234, 'trigDet': 22}	85.366861105	endSentence
{'onsetDet': 4.5360000000000005, 'onsetNoun': 4.7169999999999996, 'hasQuestion': 1, 'Question': 'Maakte het publiek na afloop van de voorstelling een buiging?', 'relatedness': 'related', 'trialIndex': 3, 'offsetNoun': 5.0519999999999996, 'speaker': 'nonNat', 'trigOffsetNoun': 219, 'sentID': 38, 'yesOrNo': 1.0, 'part': 'experiment', 'filename': 'nonNat_38_related', 'totalLen': 5.5770000000000008, 'trigDet': 21}	86.5843780041	sentStart
{'onsetDet': 4.5360000000000005, 'onsetNoun': 4.7169999999999996, 'hasQuestion': 1, 'Question': 'Maakte het publiek na afloop van de voorstelling een buiging?', 'relatedness': 'related', 'trialIndex': 3, 'offsetNoun': 5.0519999999999996, 'speaker': 'nonNat', 'trigOffsetNoun': 219, 'sentID': 38, 'yesOrNo': 1.0, 'part': 'experiment', 'filename': 'nonNat_38_related', 'totalLen': 5.5770000000000008, 'trigDet': 21}	91.129034996	onsetDet	21
{'onsetDet': 4.5360000000000005, 'onsetNoun': 4.7169999999999996, 'hasQuestion': 1, 'Question': 'Maakte het publiek na afloop van de voorstelling een buiging?', 'relatedness': 'related', 'trialIndex': 3, 'offsetNoun': 5.0519999999999996, 'speaker': 'nonNat', 'trigOffsetNoun': 219, 'sentID': 38, 'yesOrNo': 1.0, 'part': 'experiment', 'filename': 'nonNat_38_related', 'totalLen': 5.5770000000000008, 'trigDet': 21}	91.3183181286	onsetNoun
{'onsetDet': 4.5360000000000005, 'onsetNoun': 4.7169999999999996, 'hasQuestion': 1, 'Question': 'Maakte het publiek na afloop van de voorstelling een buiging?', 'relatedness': 'related', 'trialIndex': 3, 'offsetNoun': 5.0519999999999996, 'speaker': 'nonNat', 'trigOffsetNoun': 219, 'sentID': 38, 'yesOrNo': 1.0, 'part': 'experiment', 'filename': 'nonNat_38_related', 'totalLen': 5.5770000000000008, 'trigDet': 21}	96.1988899708	offsetNoun	219
{'onsetDet': 4.5360000000000005, 'onsetNoun': 4.7169999999999996, 'hasQuestion': 1, 'Question': 'Maakte het publiek na afloop van de voorstelling een buiging?', 'relatedness': 'related', 'trialIndex': 3, 'offsetNoun': 5.0519999999999996, 'speaker': 'nonNat', 'trigOffsetNoun': 219, 'sentID': 38, 'yesOrNo': 1.0, 'part': 'experiment', 'filename': 'nonNat_38_related', 'totalLen': 5.5770000000000008, 'trigDet': 21}	96.9148921967	endSentence
{'onsetDet': 3.9319999999999999, 'onsetNoun': 4.0549999999999997, 'hasQuestion': 1, 'Question': 'Gaat Zwarte Piet door de schoorsteen naar binnen?', 'relatedness': 'unrelated', 'trialIndex': 4, 'offsetNoun': 4.5199999999999996, 'speaker': 'Nat', 'trigOffsetNoun': 129, 'sentID': 155, 'yesOrNo': 0.0, 'part': 'experiment', 'filename': 'Nat_155_unrelated', 'totalLen': 6.3849999999999998, 'trigDet': 12}	102.421332121	sentStart
{'onsetDet': 3.9319999999999999, 'onsetNoun': 4.0549999999999997, 'hasQuestion': 1, 'Question': 'Gaat Zwarte Piet door de schoorsteen naar binnen?', 'relatedness': 'unrelated', 'trialIndex': 4, 'offsetNoun': 4.5199999999999996, 'speaker': 'Nat', 'trigOffsetNoun': 129, 'sentID': 155, 'yesOrNo': 0.0, 'part': 'experiment', 'filename': 'Nat_155_unrelated', 'totalLen': 6.3849999999999998, 'trigDet': 12}	106.362068176	onsetDet	12
{'onsetDet': 3.9319999999999999, 'onsetNoun': 4.0549999999999997, 'hasQuestion': 1, 'Question': 'Gaat Zwarte Piet door de schoorsteen naar binnen?', 'relatedness': 'unrelated', 'trialIndex': 4, 'offsetNoun': 4.5199999999999996, 'speaker': 'Nat', 'trigOffsetNoun': 129, 'sentID': 155, 'yesOrNo': 0.0, 'part': 'experiment', 'filename': 'Nat_155_unrelated', 'totalLen': 6.3849999999999998, 'trigDet': 12}	106.493468046	onsetNoun
{'onsetDet': 3.9319999999999999, 'onsetNoun': 4.0549999999999997, 'hasQuestion': 1, 'Question': 'Gaat Zwarte Piet door de schoorsteen naar binnen?', 'relatedness': 'unrelated', 'trialIndex': 4, 'offsetNoun': 4.5199999999999996, 'speaker': 'Nat', 'trigOffsetNoun': 129, 'sentID': 155, 'yesOrNo': 0.0, 'part': 'experiment', 'filename': 'Nat_155_unrelated', 'totalLen': 6.3849999999999998, 'trigDet': 12}	110.899533987	offsetNoun	129
