time	ROI central	ROI central_smaller	
79.1016	0.2045	0.2016	Non-native Unexpected
80.0781	0.2142	0.211	Non-native Unexpected
81.0547	0.2239	0.2203	Non-native Unexpected
82.0312	0.2335	0.2296	Non-native Unexpected
83.0078	0.243	0.2388	Non-native Unexpected
83.9844	0.2524	0.248	Non-native Unexpected
84.9609	0.2616	0.257	Non-native Unexpected
85.9375	0.2707	0.266	Non-native Unexpected
86.9141	0.2797	0.2748	Non-native Unexpected
87.8906	0.2884	0.2835	Non-native Unexpected
88.8672	0.297	0.2921	Non-native Unexpected
89.8438	0.3054	0.3005	Non-native Unexpected
90.8203	0.3135	0.3087	Non-native Unexpected
91.7969	0.3214	0.3167	Non-native Unexpected
92.7734	0.3291	0.3245	Non-native Unexpected
93.75	0.3366	0.3322	Non-native Unexpected
94.7266	0.3438	0.3396	Non-native Unexpected
95.7031	0.3508	0.3469	Non-native Unexpected
96.6797	0.3575	0.3539	Non-native Unexpected
97.6562	0.364	0.3607	Non-native Unexpected
98.6328	0.3703	0.3673	Non-native Unexpected
99.6094	0.3763	0.3737	Non-native Unexpected
100.5859	0.382	0.3799	Non-native Unexpected
101.5625	0.3876	0.3858	Non-native Unexpected
102.5391	0.3929	0.3916	Non-native Unexpected
103.5156	0.398	0.3972	Non-native Unexpected
104.4922	0.403	0.4025	Non-native Unexpected
105.4688	0.4077	0.4077	Non-native Unexpected
106.4453	0.4122	0.4127	Non-native Unexpected
107.4219	0.4166	0.4175	Non-native Unexpected
108.3984	0.4208	0.4222	Non-native Unexpected
109.375	0.4248	0.4267	Non-native Unexpected
110.3516	0.4288	0.4311	Non-native Unexpected
111.3281	0.4325	0.4353	Non-native Unexpected
112.3047	0.4362	0.4394	Non-native Unexpected
113.2812	0.4398	0.4434	Non-native Unexpected
114.2578	0.4433	0.4472	Non-native Unexpected
115.2344	0.4467	0.451	Non-native Unexpected
116.2109	0.4501	0.4546	Non-native Unexpected
117.1875	0.4534	0.4582	Non-native Unexpected
118.1641	0.4567	0.4618	Non-native Unexpected
119.1406	0.46	0.4652	Non-native Unexpected
120.1172	0.4633	0.4686	Non-native Unexpected
121.0938	0.4665	0.472	Non-native Unexpected
122.0703	0.4698	0.4753	Non-native Unexpected
123.0469	0.4731	0.4786	Non-native Unexpected
