time	ROI central	ROI central_smaller	
945.3125	0.0955	-0.0505	Non-native Unexpected
946.2891	0.102	-0.0428	Non-native Unexpected
947.2656	0.1083	-0.0354	Non-native Unexpected
948.2422	0.1145	-0.028	Non-native Unexpected
949.2188	0.1206	-0.0209	Non-native Unexpected
950.1953	0.1265	-0.0139	Non-native Unexpected
951.1719	0.1322	-0.0071	Non-native Unexpected
952.1484	0.1378	-0.0004	Non-native Unexpected
953.125	0.1431	0.006	Non-native Unexpected
954.1016	0.1483	0.0122	Non-native Unexpected
955.0781	0.1533	0.0182	Non-native Unexpected
956.0547	0.1581	0.024	Non-native Unexpected
957.0312	0.1627	0.0296	Non-native Unexpected
958.0078	0.1672	0.035	Non-native Unexpected
958.9844	0.1714	0.0402	Non-native Unexpected
959.9609	0.1754	0.0451	Non-native Unexpected
960.9375	0.1793	0.0498	Non-native Unexpected
961.9141	0.1829	0.0543	Non-native Unexpected
962.8906	0.1864	0.0586	Non-native Unexpected
963.8672	0.1896	0.0626	Non-native Unexpected
964.8438	0.1927	0.0664	Non-native Unexpected
965.8203	0.1956	0.0701	Non-native Unexpected
966.7969	0.1983	0.0735	Non-native Unexpected
967.7734	0.2009	0.0767	Non-native Unexpected
968.75	0.2033	0.0797	Non-native Unexpected
969.7266	0.2055	0.0825	Non-native Unexpected
970.7031	0.2076	0.0851	Non-native Unexpected
971.6797	0.2095	0.0875	Non-native Unexpected
972.6562	0.2112	0.0898	Non-native Unexpected
973.6328	0.2129	0.0919	Non-native Unexpected
974.6094	0.2144	0.0938	Non-native Unexpected
975.5859	0.2157	0.0956	Non-native Unexpected
976.5625	0.217	0.0972	Non-native Unexpected
977.5391	0.2181	0.0986	Non-native Unexpected
978.5156	0.2191	0.1	Non-native Unexpected
979.4922	0.2201	0.1012	Non-native Unexpected
980.4688	0.2209	0.1023	Non-native Unexpected
981.4453	0.2216	0.1032	Non-native Unexpected
982.4219	0.2223	0.1041	Non-native Unexpected
983.3984	0.2229	0.1049	Non-native Unexpected
984.375	0.2234	0.1056	Non-native Unexpected
985.3516	0.2238	0.1062	Non-native Unexpected
986.3281	0.2242	0.1067	Non-native Unexpected
987.3047	0.2245	0.1071	Non-native Unexpected
988.2812	0.2248	0.1075	Non-native Unexpected
989.2578	0.2251	0.1079	Non-native Unexpected
990.2344	0.2253	0.1081	Non-native Unexpected
991.2109	0.2255	0.1084	Non-native Unexpected
992.1875	0.2256	0.1086	Non-native Unexpected
993.1641	0.2257	0.1087	Non-native Unexpected
994.1406	0.2258	0.1089	Non-native Unexpected
995.1172	0.2259	0.109	Non-native Unexpected
996.0938	0.226	0.1091	Non-native Unexpected
997.0703	0.226	0.1091	Non-native Unexpected
998.0469	0.226	0.1092	Non-native Unexpected
999.0234	0.2261	0.1092	Non-native Unexpected
