       value	     chindex	     chlabel	        bini	     ERPset
      -6.161	          39	          F2	           4	08_withDiff
      -4.177	          46	         FC2	           4	08_withDiff
      -4.810	          47	         FCz	           4	08_withDiff
      -3.262	          48	          Cz	           4	08_withDiff
      -2.468	          49	          C2	           4	08_withDiff
      -1.369	          56	         CP2	           4	08_withDiff
      -3.338	           4	          F1	           5	08_withDiff
      -2.001	          11	         FC1	           5	08_withDiff
      -1.416	          12	          C1	           5	08_withDiff
       0.201	          19	         CP1	           5	08_withDiff
      -0.763	          32	         CPz	           5	08_withDiff
      -2.145	          38	          Fz	           5	08_withDiff
      -1.409	          39	          F2	           5	08_withDiff
      -1.256	          46	         FC2	           5	08_withDiff
      -1.630	          47	         FCz	           5	08_withDiff
      -1.008	          48	          Cz	           5	08_withDiff
      -1.281	          49	          C2	           5	08_withDiff
      -1.301	          56	         CP2	           5	08_withDiff
      -6.279	           4	          F1	           1	12_withDiff
      -6.454	          11	         FC1	           1	12_withDiff
      -3.996	          12	          C1	           1	12_withDiff
      -2.407	          19	         CP1	           1	12_withDiff
      -1.552	          32	         CPz	           1	12_withDiff
      -6.188	          38	          Fz	           1	12_withDiff
      -4.813	          39	          F2	           1	12_withDiff
      -5.997	          46	         FC2	           1	12_withDiff
      -6.568	          47	         FCz	           1	12_withDiff
      -3.837	          48	          Cz	           1	12_withDiff
      -3.793	          49	          C2	           1	12_withDiff
      -2.266	          56	         CP2	           1	12_withDiff
      -4.665	           4	          F1	           2	12_withDiff
      -4.681	          11	         FC1	           2	12_withDiff
      -2.795	          12	          C1	           2	12_withDiff
      -1.432	          19	         CP1	           2	12_withDiff
      -0.913	          32	         CPz	           2	12_withDiff
      -5.667	          38	          Fz	           2	12_withDiff
      -5.811	          39	          F2	           2	12_withDiff
      -6.242	          46	         FC2	           2	12_withDiff
      -6.180	          47	         FCz	           2	12_withDiff
      -2.966	          48	          Cz	           2	12_withDiff
      -4.306	          49	          C2	           2	12_withDiff
      -2.551	          56	         CP2	           2	12_withDiff
      -2.542	           4	          F1	           3	12_withDiff
      -3.050	          11	         FC1	           3	12_withDiff
      -2.656	          12	          C1	           3	12_withDiff
      -1.885	          19	         CP1	           3	12_withDiff
      -2.454	          32	         CPz	           3	12_withDiff
      -3.274	          38	          Fz	           3	12_withDiff
      -2.774	          39	          F2	           3	12_withDiff
      -3.424	          46	         FC2	           3	12_withDiff
      -4.009	          47	         FCz	           3	12_withDiff
      -3.451	          48	          Cz	           3	12_withDiff
      -3.748	          49	          C2	           3	12_withDiff
